40 86 {'mean_speed': 20.6, 'name': 117, 'time': 44.77, 'length': 256.21, 'hist_speed': array([0., 0., 1., 0.]), 'stochastic_time': array([61.49, 61.49, 61.49, 61.49, 61.49])}
40 142 {'mean_speed': 25.24, 'name': 118, 'time': 30.2, 'length': 211.74, 'hist_speed': array([0., 1., 0., 0.]), 'stochastic_time': array([50.82, 50.82, 50.82, 50.82, 50.82])}
40 832 {'mean_speed': 23.81, 'name': 119, 'time': 18.76, 'length': 124.11, 'hist_speed': array([0. , 0.1, 0.9, 0. ]), 'stochastic_time': array([29.79, 29.79, 29.79, 29.79, 29.79])}
86 972 {'mean_speed': 33.3, 'name': 239, 'time': 18.9, 'length': 174.8, 'hist_speed': array([0., 1., 0., 0.]), 'stochastic_time': array([41.95, 41.95, 41.95, 41.95, 41.95])}
86 212 {'mean_speed': 31.1, 'name': 240, 'time': 51.37, 'length': 443.81, 'hist_speed': array([0., 1., 0., 0.]), 'stochastic_time': array([106.51, 106.51, 106.51, 106.51, 106.51])}
86 40 {'mean_speed': 25.64, 'name': 3168, 'time': 35.97, 'length': 256.21, 'hist_speed': array([0., 1., 0., 0.]), 'stochastic_time': array([61.49, 61.49, 61.49, 61.49, 61.49])}
142 972 {'mean_speed': 21.67, 'name': 402, 'time': 40.8, 'length': 245.58, 'hist_speed': array([0., 0., 1., 0.]), 'stochastic_time': array([58.94, 58.94, 58.94, 58.94, 58.94])}
142 604 {'mean_speed': 41.31, 'name': 403, 'time': 33.72, 'length': 386.96, 'hist_speed': array([1., 0., 0., 0.]), 'stochastic_time': array([92.87, 92.87, 92.87, 92.87, 92.87])}
142 790 {'mean_speed': 37.77, 'name': 404, 'time': 29.58, 'length': 310.34, 'hist_speed': array([0.9, 0.1, 0. , 0. ]), 'stochastic_time': array([74.48, 74.48, 74.48, 74.48, 74.48])}
142 40 {'mean_speed': 21.48, 'name': 3169, 'time': 35.49, 'length': 211.74, 'hist_speed': array([0. , 0.1, 0.9, 0. ]), 'stochastic_time': array([50.82, 50.82, 50.82, 50.82, 50.82])}
832 1000 {'mean_speed': 24.77, 'name': 1883, 'time': 34.71, 'length': 238.84, 'hist_speed': array([0. , 0.2, 0.8, 0. ]), 'stochastic_time': array([57.32, 57.32, 57.32, 57.32, 57.32])}
832 40 {'mean_speed': 22.92, 'name': 3170, 'time': 19.49, 'length': 124.11, 'hist_speed': array([0., 0., 1., 0.]), 'stochastic_time': array([29.79, 29.79, 29.79, 29.79, 29.79])}
832 667 {'mean_speed': 29.84, 'name': 4587, 'time': 36.7, 'length': 304.23, 'hist_speed': array([0.1, 0.9, 0. , 0. ]), 'stochastic_time': array([73.01, 73.01, 73.01, 73.01, 73.01])}
69 1409 {'mean_speed': 42.41, 'name': 187, 'time': 18.48, 'length': 217.72, 'hist_speed': array([0.7, 0.3, 0. , 0. ]), 'stochastic_time': array([52.25, 52.25, 52.25, 52.25, 52.25])}
69 1672 {'mean_speed': 36.38, 'name': 188, 'time': 53.77, 'length': 543.33, 'hist_speed': array([1., 0., 0., 0.]), 'stochastic_time': array([130.4, 130.4, 130.4, 130.4, 130.4])}
69 1627 {'mean_speed': 42.37, 'name': 189, 'time': 36.8, 'length': 433.09, 'hist_speed': array([0.9, 0.1, 0. , 0. ]), 'stochastic_time': array([103.94, 103.94, 103.94, 103.94, 103.94])}
69 991 {'mean_speed': 44.37, 'name': 190, 'time': 27.21, 'length': 335.35, 'hist_speed': array([1., 0., 0., 0.]), 'stochastic_time': array([80.48, 80.48, 80.48, 80.48, 80.48])}
1409 1687 {'mean_speed': 45, 'name': 2673, 'time': 24.48, 'length': 306.04, 'hist_speed': array([1., 0., 0., 0.]), 'stochastic_time': array([73.45, 73.45, 73.45, 73.45, 73.45])}
1409 69 {'mean_speed': 36.96, 'name': 3238, 'time': 21.21, 'length': 217.72, 'hist_speed': array([0.8, 0.2, 0. , 0. ]), 'stochastic_time': array([52.25, 52.25, 52.25, 52.25, 52.25])}
1409 1318 {'mean_speed': 34.45, 'name': 5502, 'time': 54.92, 'length': 525.52, 'hist_speed': array([0.5, 0.5, 0. , 0. ]), 'stochastic_time': array([126.12, 126.12, 126.12, 126.12, 126.12])}
1672 1696 {'mean_speed': 34.17, 'name': 2952, 'time': 24.95, 'length': 236.81, 'hist_speed': array([0.7, 0.3, 0. , 0. ]), 'stochastic_time': array([56.83, 56.83, 56.83, 56.83, 56.83])}
1672 69 {'mean_speed': 33.03, 'name': 3239, 'time': 59.22, 'length': 543.33, 'hist_speed': array([0.7, 0. , 0.2, 0.1]), 'stochastic_time': array([130.4, 130.4, 130.4, 130.4, 130.4])}
1672 364 {'mean_speed': 33.27, 'name': 3944, 'time': 46.9, 'length': 433.48, 'hist_speed': array([0.6, 0.4, 0. , 0. ]), 'stochastic_time': array([104.03, 104.03, 104.03, 104.03, 104.03])}
1672 1318 {'mean_speed': 28.63, 'name': 5501, 'time': 30.26, 'length': 240.68, 'hist_speed': array([0. , 0.9, 0. , 0.1]), 'stochastic_time': array([57.76, 57.76, 57.76, 57.76, 57.76])}
1627 69 {'mean_speed': 38.06, 'name': 3240, 'time': 40.97, 'length': 433.09, 'hist_speed': array([0.8, 0.2, 0. , 0. ]), 'stochastic_time': array([103.94, 103.94, 103.94, 103.94, 103.94])}
1627 865 {'mean_speed': 38.24, 'name': 4918, 'time': 35.69, 'length': 379.08, 'hist_speed': array([0.8, 0.2, 0. , 0. ]), 'stochastic_time': array([90.98, 90.98, 90.98, 90.98, 90.98])}
1627 872 {'mean_speed': 35.28, 'name': 4935, 'time': 58.32, 'length': 571.51, 'hist_speed': array([0.8, 0.2, 0. , 0. ]), 'stochastic_time': array([137.16, 137.16, 137.16, 137.16, 137.16])}
1627 893 {'mean_speed': 39.92, 'name': 4970, 'time': 17.0, 'length': 188.53, 'hist_speed': array([0.9, 0.1, 0. , 0. ]), 'stochastic_time': array([45.25, 45.25, 45.25, 45.25, 45.25])}
991 1696 {'mean_speed': 41.82, 'name': 2168, 'time': 46.0, 'length': 534.41, 'hist_speed': array([1., 0., 0., 0.]), 'stochastic_time': array([128.26, 128.26, 128.26, 128.26, 128.26])}
991 1169 {'mean_speed': 39.2, 'name': 2169, 'time': 23.83, 'length': 259.52, 'hist_speed': array([1., 0., 0., 0.]), 'stochastic_time': array([62.28, 62.28, 62.28, 62.28, 62.28])}
991 1567 {'mean_speed': 35.06, 'name': 2170, 'time': 42.77, 'length': 416.49, 'hist_speed': array([1., 0., 0., 0.]), 'stochastic_time': array([99.96, 99.96, 99.96, 99.96, 99.96])}
991 69 {'mean_speed': 45, 'name': 3241, 'time': 26.83, 'length': 335.35, 'hist_speed': array([1., 0., 0., 0.]), 'stochastic_time': array([80.48, 80.48, 80.48, 80.48, 80.48])}
972 86 {'mean_speed': 25.65, 'name': 3288, 'time': 24.53, 'length': 174.8, 'hist_speed': array([0., 1., 0., 0.]), 'stochastic_time': array([41.95, 41.95, 41.95, 41.95, 41.95])}
972 142 {'mean_speed': 33.3, 'name': 3445, 'time': 26.55, 'length': 245.58, 'hist_speed': array([0., 1., 0., 0.]), 'stochastic_time': array([58.94, 58.94, 58.94, 58.94, 58.94])}
212 1000 {'mean_speed': 31.15, 'name': 579, 'time': 29.77, 'length': 257.57, 'hist_speed': array([0., 1., 0., 0.]), 'stochastic_time': array([61.82, 61.82, 61.82, 61.82, 61.82])}
212 86 {'mean_speed': 27.13, 'name': 3289, 'time': 58.89, 'length': 443.81, 'hist_speed': array([0., 1., 0., 0.]), 'stochastic_time': array([106.51, 106.51, 106.51, 106.51, 106.51])}
97 1607 {'mean_speed': 30.76, 'name': 273, 'time': 35.26, 'length': 301.31, 'hist_speed': array([0., 1., 0., 0.]), 'stochastic_time': array([72.31, 72.31, 72.31, 72.31, 72.31])}
97 1012 {'mean_speed': 30.53, 'name': 274, 'time': 31.69, 'length': 268.75, 'hist_speed': array([0., 1., 0., 0.]), 'stochastic_time': array([64.5, 64.5, 64.5, 64.5, 64.5])}
97 1477 {'mean_speed': 19.84, 'name': 275, 'time': 43.19, 'length': 238.05, 'hist_speed': array([0., 0., 1., 0.]), 'stochastic_time': array([57.13, 57.13, 57.13, 57.13, 57.13])}
97 1377 {'mean_speed': 26.91, 'name': 276, 'time': 38.84, 'length': 290.32, 'hist_speed': array([0.1, 0.3, 0.5, 0.1]), 'stochastic_time': array([69.68, 69.68, 69.68, 69.68, 69.68])}
1607 97 {'mean_speed': 28.92, 'name': 3322, 'time': 37.51, 'length': 301.31, 'hist_speed': array([0., 1., 0., 0.]), 'stochastic_time': array([72.31, 72.31, 72.31, 72.31, 72.31])}
1607 772 {'mean_speed': 31.97, 'name': 4752, 'time': 27.96, 'length': 248.3, 'hist_speed': array([0.1, 0.9, 0. , 0. ]), 'stochastic_time': array([59.59, 59.59, 59.59, 59.59, 59.59])}
1607 1057 {'mean_speed': 28.9, 'name': 5209, 'time': 33.97, 'length': 272.71, 'hist_speed': array([0. , 0.9, 0.1, 0. ]), 'stochastic_time': array([65.45, 65.45, 65.45, 65.45, 65.45])}
1012 1057 {'mean_speed': 35.41, 'name': 2203, 'time': 30.65, 'length': 301.44, 'hist_speed': array([0.5, 0.4, 0.1, 0. ]), 'stochastic_time': array([72.34, 72.34, 72.34, 72.34, 72.34])}
1012 97 {'mean_speed': 28.42, 'name': 3323, 'time': 34.04, 'length': 268.75, 'hist_speed': array([0.1, 0.5, 0.3, 0.1]), 'stochastic_time': array([64.5, 64.5, 64.5, 64.5, 64.5])}
1012 638 {'mean_speed': 33.89, 'name': 4533, 'time': 30.54, 'length': 287.53, 'hist_speed': array([0.3, 0.7, 0. , 0. ]), 'stochastic_time': array([69.01, 69.01, 69.01, 69.01, 69.01])}
1477 97 {'mean_speed': 28.99, 'name': 3324, 'time': 29.56, 'length': 238.05, 'hist_speed': array([0. , 0.9, 0.1, 0. ]), 'stochastic_time': array([57.13, 57.13, 57.13, 57.13, 57.13])}
1477 637 {'mean_speed': 29.72, 'name': 4531, 'time': 40.18, 'length': 331.68, 'hist_speed': array([0.1, 0.9, 0. , 0. ]), 'stochastic_time': array([79.6, 79.6, 79.6, 79.6, 79.6])}
1477 772 {'mean_speed': 28.12, 'name': 4753, 'time': 38.94, 'length': 304.14, 'hist_speed': array([0., 1., 0., 0.]), 'stochastic_time': array([72.99, 72.99, 72.99, 72.99, 72.99])}
1477 1241 {'mean_speed': 29.83, 'name': 5416, 'time': 34.99, 'length': 289.9, 'hist_speed': array([0. , 0.9, 0.1, 0. ]), 'stochastic_time': array([69.57, 69.57, 69.57, 69.57, 69.57])}
1377 97 {'mean_speed': 31.61, 'name': 3325, 'time': 33.06, 'length': 290.32, 'hist_speed': array([0., 1., 0., 0.]), 'stochastic_time': array([69.68, 69.68, 69.68, 69.68, 69.68])}
1377 638 {'mean_speed': 34.22, 'name': 4535, 'time': 25.42, 'length': 241.64, 'hist_speed': array([0.5, 0.5, 0. , 0. ]), 'stochastic_time': array([57.99, 57.99, 57.99, 57.99, 57.99])}
1377 1241 {'mean_speed': 35.51, 'name': 5417, 'time': 27.0, 'length': 266.34, 'hist_speed': array([0.5, 0.5, 0. , 0. ]), 'stochastic_time': array([63.92, 63.92, 63.92, 63.92, 63.92])}
110 708 {'mean_speed': 45, 'name': 309, 'time': 23.59, 'length': 294.88, 'hist_speed': array([1., 0., 0., 0.]), 'stochastic_time': array([70.77, 70.77, 70.77, 70.77, 70.77])}
110 124 {'mean_speed': 40.45, 'name': 310, 'time': 34.07, 'length': 382.84, 'hist_speed': array([0.6, 0.4, 0. , 0. ]), 'stochastic_time': array([91.88, 91.88, 91.88, 91.88, 91.88])}
110 1298 {'mean_speed': 45, 'name': 312, 'time': 82.67, 'length': 1033.33, 'hist_speed': array([1., 0., 0., 0.]), 'stochastic_time': array([248., 248., 248., 248., 248.])}
708 110 {'mean_speed': 31.17, 'name': 3358, 'time': 34.06, 'length': 294.88, 'hist_speed': array([0.1, 0.9, 0. , 0. ]), 'stochastic_time': array([70.77, 70.77, 70.77, 70.77, 70.77])}
708 637 {'mean_speed': 37.77, 'name': 4532, 'time': 36.59, 'length': 383.9, 'hist_speed': array([0.7, 0.2, 0.1, 0. ]), 'stochastic_time': array([92.13, 92.13, 92.13, 92.13, 92.13])}
124 637 {'mean_speed': 27.65, 'name': 348, 'time': 37.83, 'length': 290.59, 'hist_speed': array([0. , 0.9, 0.1, 0. ]), 'stochastic_time': array([69.74, 69.74, 69.74, 69.74, 69.74])}
124 1241 {'mean_speed': 39.52, 'name': 349, 'time': 28.51, 'length': 312.93, 'hist_speed': array([0.6, 0.4, 0. , 0. ]), 'stochastic_time': array([75.1, 75.1, 75.1, 75.1, 75.1])}
124 886 {'mean_speed': 34.1, 'name': 350, 'time': 25.24, 'length': 239.1, 'hist_speed': array([0., 1., 0., 0.]), 'stochastic_time': array([57.38, 57.38, 57.38, 57.38, 57.38])}
124 110 {'mean_speed': 45, 'name': 3359, 'time': 30.63, 'length': 382.84, 'hist_speed': array([0.9, 0.1, 0. , 0. ]), 'stochastic_time': array([91.88, 91.88, 91.88, 91.88, 91.88])}
1298 110 {'mean_speed': 45, 'name': 3361, 'time': 82.67, 'length': 1033.33, 'hist_speed': array([0.6, 0. , 0.4, 0. ]), 'stochastic_time': array([248., 248., 248., 248., 248.])}
1298 865 {'mean_speed': 34.83, 'name': 4919, 'time': 45.6, 'length': 441.17, 'hist_speed': array([0.7, 0.3, 0. , 0. ]), 'stochastic_time': array([105.88, 105.88, 105.88, 105.88, 105.88])}
111 1869 {'mean_speed': 40.59, 'name': 313, 'time': 33.46, 'length': 377.28, 'hist_speed': array([0.7, 0.3, 0. , 0. ]), 'stochastic_time': array([90.55, 90.55, 90.55, 90.55, 90.55])}
111 733 {'mean_speed': 17.75, 'name': 314, 'time': 19.68, 'length': 97.03, 'hist_speed': array([0., 0., 1., 0.]), 'stochastic_time': array([23.29, 23.29, 23.29, 23.29, 23.29])}
111 1096 {'mean_speed': 29.31, 'name': 315, 'time': 20.82, 'length': 169.53, 'hist_speed': array([0., 1., 0., 0.]), 'stochastic_time': array([40.69, 40.69, 40.69, 40.69, 40.69])}
1869 111 {'mean_speed': 33.64, 'name': 3362, 'time': 40.37, 'length': 377.28, 'hist_speed': array([0.1, 0.8, 0.1, 0. ]), 'stochastic_time': array([90.55, 90.55, 90.55, 90.55, 90.55])}
1869 1225 {'mean_speed': 29.67, 'name': 5396, 'time': 24.14, 'length': 198.92, 'hist_speed': array([0.3, 0.5, 0.1, 0.1]), 'stochastic_time': array([47.74, 47.74, 47.74, 47.74, 47.74])}
733 1759 {'mean_speed': 15.36, 'name': 1710, 'time': 42.4, 'length': 180.9, 'hist_speed': array([0., 0., 1., 0.]), 'stochastic_time': array([43.41, 43.41, 43.41, 43.41, 43.41])}
1096 1468 {'mean_speed': 34.32, 'name': 2309, 'time': 19.3, 'length': 183.98, 'hist_speed': array([0.4, 0.6, 0. , 0. ]), 'stochastic_time': array([44.15, 44.15, 44.15, 44.15, 44.15])}
1096 1582 {'mean_speed': 29.8, 'name': 2310, 'time': 56.4, 'length': 466.84, 'hist_speed': array([0., 1., 0., 0.]), 'stochastic_time': array([112.04, 112.04, 112.04, 112.04, 112.04])}
1096 111 {'mean_speed': 35.49, 'name': 3363, 'time': 17.2, 'length': 169.53, 'hist_speed': array([0.5, 0.4, 0.1, 0. ]), 'stochastic_time': array([40.69, 40.69, 40.69, 40.69, 40.69])}
1096 984 {'mean_speed': 28.99, 'name': 5115, 'time': 47.02, 'length': 378.68, 'hist_speed': array([0.1, 0.8, 0.1, 0. ]), 'stochastic_time': array([90.88, 90.88, 90.88, 90.88, 90.88])}
637 716 {'mean_speed': 36.1, 'name': 1529, 'time': 30.03, 'length': 301.16, 'hist_speed': array([0.7, 0. , 0.3, 0. ]), 'stochastic_time': array([72.28, 72.28, 72.28, 72.28, 72.28])}
637 1477 {'mean_speed': 25.47, 'name': 1530, 'time': 46.88, 'length': 331.68, 'hist_speed': array([0. , 0.2, 0.8, 0. ]), 'stochastic_time': array([79.6, 79.6, 79.6, 79.6, 79.6])}
637 708 {'mean_speed': 17.79, 'name': 1531, 'time': 77.69, 'length': 383.9, 'hist_speed': array([0. , 0.1, 0.7, 0.2]), 'stochastic_time': array([92.13, 92.13, 92.13, 92.13, 92.13])}
637 124 {'mean_speed': 39.3, 'name': 3394, 'time': 26.62, 'length': 290.59, 'hist_speed': array([0.5, 0.5, 0. , 0. ]), 'stochastic_time': array([69.74, 69.74, 69.74, 69.74, 69.74])}
1241 1477 {'mean_speed': 29.5, 'name': 2483, 'time': 35.38, 'length': 289.9, 'hist_speed': array([0., 1., 0., 0.]), 'stochastic_time': array([69.57, 69.57, 69.57, 69.57, 69.57])}
1241 1377 {'mean_speed': 34.05, 'name': 2484, 'time': 28.16, 'length': 266.34, 'hist_speed': array([0.6, 0.4, 0. , 0. ]), 'stochastic_time': array([63.92, 63.92, 63.92, 63.92, 63.92])}
1241 124 {'mean_speed': 40.1, 'name': 3395, 'time': 28.09, 'length': 312.93, 'hist_speed': array([0.7, 0.3, 0. , 0. ]), 'stochastic_time': array([75.1, 75.1, 75.1, 75.1, 75.1])}
